,Index,Title,Artist,Like,Top.Genre,Year,Beats.Per.Minute..BPM.,Energy,Danceability,Loudness..dB.,Liveness,Valence,Length..Duration.,Acousticness,Speechiness,Popularity
58,58,"Listen (From the Motion Picture ""Dreamgirls"")",Beyoncé,1,dance pop,2006,123,59,48,-5,18,20,218,27,5,44
178,178,Ice Queen,Within Temptation,0,dutch metal,2003,92,57,26,-8,11,15,319,4,3,47
639,639,Liquid Spirit - Claptone Remix,Gregory Porter,0,contemporary vocal jazz,2015,121,62,88,-9,5,30,384,0,5,63
528,528,I See Fire,Ed Sheeran,0,pop,2013,76,5,63,-21,10,20,301,56,4,64
386,386,Mother Earth,Within Temptation,0,dutch metal,2003,105,59,43,-6,24,15,330,2,3,45
554,554,I Sat By The Ocean,Queens of the Stone Age,0,alternative metal,2013,117,78,52,-4,11,90,236,0,4,66
228,228,Mijn Houten Hart,De Poema's,0,dutch pop,2003,70,59,43,-6,9,25,259,46,3,45
366,366,Tranen Gelachen,Guus Meeuwis,0,dutch pop,2007,186,54,30,-8,12,54,203,16,4,50
40,40,De Weg,Guus Meeuwis,0,dutch pop,2005,72,21,46,-11,11,26,266,91,3,42
492,492,Winter,Tori Amos,0,art pop,2012,78,20,24,-14,11,27,345,98,3,19
636,636,We Come 1 - Radio Edit,Faithless,0,big beat,2015,136,90,65,-11,15,61,222,0,4,54
337,337,Mr. Bojangles - Single Version,Sammy Davis Jr.,0,adult standards,2002,117,18,54,-13,11,13,343,75,5,56
649,649,Barcelona,Freddie Mercury,0,glam rock,2016,170,46,18,-9,9,13,267,74,4,40
314,314,We Can Work It Out - Remastered 2015,The Beatles,0,british invasion,2000,106,68,38,-9,18,65,136,6,3,63
65,65,Kryptonite,3 Doors Down,0,alternative metal,2000,99,87,55,-6,17,54,234,1,3,77
524,524,Formidable,Stromae,0,belgian pop,2013,71,63,51,-9,15,50,214,10,19,49
694,694,In the Blood,John Mayer,0,neo mellow,2017,80,66,55,-7,10,52,244,39,3,66
678,678,Way Down We Go,KALEO,0,icelandic indie,2016,163,51,49,-8,10,34,214,58,12,76
196,196,Les lacs du Connemara,Michel Sardou,0,chanson,2004,112,59,30,-10,63,40,364,57,5,59
210,210,Society,Eddie Vedder,0,permanent wave,2007,162,33,56,-11,11,30,236,90,3,67
568,568,Une belle histoire,Michel Fugain,0,chanson,2014,83,58,27,-9,37,65,198,50,4,40
614,614,Birds,Anouk,0,dutch indie,2015,85,41,17,-8,11,9,203,61,3,33
195,195,Tumble and Fall,JOHAN,0,dutch indie,2001,170,61,45,-7,9,48,209,2,3,36
262,262,In My Place,Coldplay,1,permanent wave,2002,145,59,43,-5,30,19,227,6,3,70
665,665,I Just Can't Help Believin',Elvis Presley,0,adult standards,2016,142,66,46,-8,9,34,274,28,5,44
418,418,Christmas Lights,Coldplay,1,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84
183,183,The Blower's Daughter,Damien Rice,1,acoustic pop,2003,133,20,34,-14,34,7,287,13,3,56
638,638,Down Man,Brainbox,0,dutch prog,2015,168,76,43,-9,10,51,155,0,6,35
191,191,Nederwiet,Doe Maar,0,dutch cabaret,2008,131,71,78,-9,6,61,414,46,19,39
425,425,Man Down,Rihanna,0,barbadian pop,2010,156,91,48,-4,5,54,267,4,19,59
217,217,Pa,Doe Maar,0,dutch cabaret,2008,129,59,93,-12,11,96,219,43,5,41
799,799,Dancing On My Own,Calum Scott,1,australian pop,2019,113,17,68,-9,10,24,260,84,3,28
787,787,bad guy,Billie Eilish,1,electropop,2019,135,43,70,-11,10,56,194,33,38,95
414,414,The Eve of the War,Jeff Wayne,0,classic uk pop,2010,127,59,40,-9,11,37,263,8,4,28
594,594,Looking Too Closely,Fink,0,chamber pop,2014,175,52,48,-12,9,10,311,33,4,63
294,294,Hurt,Johnny Cash,1,arkansas country,2002,90,39,53,-8,9,16,217,65,3,75
790,790,Reünie,Snelle,0,dutch hip hop,2019,96,35,51,-9,59,51,172,67,15,71
608,608,Élan,Nightwish,0,finnish metal,2015,128,58,57,-9,14,30,287,1,3,58
740,740,Natural,Imagine Dragons,1,modern rock,2018,100,61,70,-6,8,22,189,22,4,84
316,316,Superstition - Single Version,Stevie Wonder,0,adult standards,2002,100,63,63,-12,4,87,245,4,7,77
476,476,Terug Naar De Kust,Maggie MacNeal,0,nederpop,2011,117,45,49,-9,62,40,266,82,3,39
237,237,Lost,Anouk,1,dutch indie,2004,90,25,52,-10,14,14,222,22,3,51
737,737,Als Het Avond Is,Suzan & Freek,1,dutch pop,2018,105,47,72,-7,11,45,206,53,3,65
141,141,I Gotta Feeling,The Black Eyed Peas,1,dance pop,2009,128,77,74,-6,51,61,289,9,3,69
75,75,Little Lion Man,Mumford & Sons,0,modern folk rock,2009,139,48,52,-8,9,46,247,3,3,67
233,233,Song 2,Blur,0,alternative rock,2000,130,71,66,-7,7,86,122,0,9,64
248,248,Vlinder,Rowwen Hèze,0,carnaval limburg,2003,175,79,35,-5,38,80,231,16,4,33
127,127,Best of You,Foo Fighters,0,alternative metal,2005,130,94,37,-5,19,37,256,0,7,75
341,341,Mia,Gorki,0,belgian rock,2002,114,30,70,-17,10,23,332,4,3,52
160,160,It's Raining Men,The Weather Girls,1,disco,2008,136,93,66,-6,70,46,212,46,16,58
546,546,Sky and Sand,Paul Kalkbrenner,0,electronica,2013,127,33,79,-13,19,53,231,60,6,67
796,796,Homburg - Single Version - 2009 Remaster - Mono,Procol Harum,0,album rock,2019,142,66,36,-8,6,38,237,10,3,32
627,627,R U Kiddin' Me,Anouk,1,dutch indie,2015,89,82,53,-6,9,69,200,1,4,16
452,452,Turning Tables,Adele,1,british soul,2011,80,45,31,-6,13,21,250,95,3,66
703,703,Through the Barricades - Remastered,Spandau Ballet,0,dance rock,2017,146,28,49,-14,12,17,360,30,3,60
346,346,Dani California,Red Hot Chili Peppers,1,alternative rock,2006,96,91,56,-2,35,73,282,2,4,76
561,561,The Road To Mandalay,Robbie Williams,0,dance pop,2013,99,68,62,-8,16,53,240,11,3,30
321,321,Geef Mij Je Angst,Guus Meeuwis,0,dutch pop,2006,81,56,37,-11,97,42,224,75,5,54
222,222,Gravity,John Mayer,0,neo mellow,2006,124,33,76,-10,24,24,246,73,3,75
589,589,Yellow Submarine,The Beatles,0,british invasion,2014,111,64,62,-7,52,65,159,21,3,58
624,624,Adventure of a Lifetime,Coldplay,0,permanent wave,2015,112,92,64,-4,15,53,264,0,4,74
791,791,About A Girl - Live Version,Nirvana,0,alternative rock,2019,121,76,61,-9,73,63,218,14,7,50
18,18,Uninvited,Alanis Morissette,0,alternative rock,2005,127,54,38,-5,9,19,276,2,3,57
281,281,There Must Be an Angel (Playing with My Heart),Eurythmics,0,dance pop,2005,112,78,58,-5,8,60,281,28,4,40
12,12,Seven Nation Army,The White Stripes,1,alternative rock,2003,124,46,74,-8,26,32,232,1,8,74
746,746,High Hopes,Panic! At The Disco,1,baroque pop,2018,82,90,58,-3,6,68,191,19,6,87
223,223,Leave the Light On,Beth Hart,0,blues rock,2009,142,48,57,-6,10,16,244,26,3,32
681,681,The Book Of Love,Gavin James,0,neo mellow,2016,108,7,52,-14,13,27,177,70,4,34
502,502,Home Again,Michael Kiwanuka,0,british soul,2012,85,32,52,-11,12,27,212,70,3,51
711,711,Sunny Days,Armin van Buuren,0,edm,2017,115,71,63,-7,14,24,210,1,3,54
397,397,Working On a Dream,Bruce Springsteen,0,classic rock,2009,110,77,56,-7,22,71,209,0,3,48
670,670,24K Magic,Bruno Mars,1,dance pop,2016,107,80,82,-4,15,63,226,3,8,78
709,709,Happier,Ed Sheeran,1,pop,2017,90,39,52,-7,14,24,208,54,3,83
310,310,God Is a DJ,Faithless,0,big beat,2005,131,90,61,-7,17,39,209,18,4,57
648,648,Cold Little Heart,Michael Kiwanuka,0,british soul,2016,108,40,49,-8,14,15,598,49,3,67
574,574,Calm After The Storm,The Common Linnets,0,dutch americana,2014,116,39,69,-11,12,38,213,49,3,52
750,750,You Say,Lauren Daigle,1,ccm,2018,148,63,49,-7,9,8,275,68,3,80
307,307,Human,The Killers,0,modern rock,2008,135,80,56,-8,9,58,245,0,6,73
313,313,Bend & Break,Keane,0,modern rock,2004,138,84,47,-4,16,48,220,0,3,43
451,451,Lonely Boy,The Black Keys,1,alternative rock,2011,166,87,36,-8,10,61,194,0,7,73
521,521,Oceaan,Racoon,0,dutch indie,2013,126,34,47,-8,11,24,165,86,4,63
551,551,tous les mêmes,Stromae,0,belgian pop,2013,110,64,70,-9,28,65,211,22,17,53
487,487,Just Give Me a Reason (feat. Nate Ruess),P!nk,1,dance pop,2012,95,55,78,-7,13,44,243,35,5,81
267,267,Omarm,BLØF,0,dutch pop,2003,184,44,27,-9,10,8,252,41,3,46
367,367,When The Sun Goes Down,Arctic Monkeys,0,garage rock,2006,169,88,35,-5,12,41,202,3,20,57
72,72,No One Knows,Queens of the Stone Age,0,alternative metal,2002,171,58,51,-5,37,67,279,3,6,65
361,361,Belfast Child,Simple Minds,0,art rock,2008,81,39,14,-13,10,30,404,30,5,43
104,104,"Trapped - Live at Meadowlands Arena, E. Rutherford, NJ - August 1984",Bruce Springsteen,1,classic rock,2003,162,62,32,-6,60,36,308,3,3,40
365,365,Mr Bojangles,Robbie Williams,0,dance pop,2001,137,33,51,-11,18,27,198,72,11,58
415,415,A Night Like This,Caro Emerald,0,dutch pop,2010,123,71,87,-6,10,96,226,57,4,40
322,322,Stuck In The Middle With You,Stealers Wheel,0,classic rock,2009,124,56,80,-10,6,96,204,9,4,72
336,336,Onderweg,Abel,0,dutch rock,2000,98,68,62,-6,8,41,190,35,2,59
548,548,Mirrors,Justin Timberlake,0,dance pop,2013,77,51,57,-7,9,51,484,23,5,77
16,16,Zonder Jou,Paul de Leeuw,0,dutch cabaret,2006,133,42,42,-10,16,25,236,84,4,48
417,417,Verdammt ich lieb dich - Remastered,Matthias Reim,0,classic schlager,2010,100,80,59,-7,9,32,220,50,7,38
697,697,Whatever It Takes,Imagine Dragons,1,modern rock,2017,135,66,67,-5,12,56,201,4,3,82
297,297,Dyna-Mite,Mud,0,classic uk pop,2005,141,92,58,-5,20,77,177,0,6,40
164,164,Zing - Vecht - Huil - Bid - Lach - Werk En Bewonder,Ramses Shaffy,0,dutch cabaret,2006,130,32,53,-17,97,46,281,53,8,41
122,122,You're the Voice,John Farnham,0,australian pop,2008,85,76,37,-9,58,64,302,22,5,62
673,673,All I Ask,Adele,1,british soul,2016,142,28,59,-5,15,34,272,88,3,70
395,395,Kijk Omhoog,Nick & Simon,0,dutch pop,2007,166,56,41,-5,19,47,176,5,3,48
428,428,Atmosphere - 2010 Remaster,Joy Division,0,alternative rock,2010,120,39,62,-12,12,44,249,23,3,51
139,139,Home,Michael Bublé,1,adult standards,2005,128,37,61,-9,11,35,226,84,3,64
445,445,The A Team,Ed Sheeran,0,pop,2011,85,29,64,-10,18,41,258,67,4,76
405,405,Why Tell Me Why,Anita Meyer,0,dutch pop,2010,112,77,65,-6,59,38,214,23,6,54
250,250,Back To Black,Amy Winehouse,0,british soul,2006,123,73,49,-3,10,34,240,12,4,77
216,216,Mutter,Rammstein,0,alternative metal,2001,116,62,49,-7,13,8,269,2,3,51
616,616,Let It Happen,Tame Impala,0,australian psych,2015,125,88,60,-6,11,58,468,0,4,76
645,645,Love Yourself,Justin Bieber,1,canadian pop,2015,100,38,61,-10,28,52,234,84,44,83
715,715,Rapper's Delight,The Sugarhill Gang,0,east coast hip hop,2017,112,75,91,-10,4,83,234,7,25,48
651,651,Hello,Adele,1,british soul,2016,158,45,48,-6,9,29,295,34,3,73
564,564,Rolling In The Deep,Adele,1,british soul,2014,105,76,73,-5,6,54,228,13,3,61
503,503,If You Could See Me Now,The Script,1,celtic rock,2012,100,76,51,-7,14,35,220,1,7,51
572,572,Op 't platteland,Daniël Lohues,0,dutch indie,2014,80,37,56,-10,9,28,182,93,4,27
290,290,Black or White - Single Version,Michael Jackson,1,pop,2005,115,89,74,-4,9,96,203,8,5,64
440,440,Rood,Marco Borsato,0,dutch cabaret,2011,138,78,48,-8,8,18,319,1,5,53
263,263,Numb,Linkin Park,0,alternative metal,2003,110,86,50,-4,64,24,186,0,4,81
646,646,Happy Xmas (War Is Over),John Lennon,0,album rock,2015,147,68,40,-6,68,60,212,18,3,47
718,718,Tuesday Afternoon (Forever Afternoon),The Moody Blues,0,album rock,2017,114,32,50,-13,24,30,249,10,3,50
37,37,Iris,The Goo Goo Dolls,0,alternative rock,2007,156,79,29,-6,8,51,290,0,4,75
295,295,Vogue,Madonna,0,dance pop,2009,116,88,74,-6,42,33,317,0,4,66
541,541,All I Want,Kodaline,1,irish pop,2013,86,41,21,-10,8,16,306,17,4,72
575,575,Riddles,Kensington,0,dutch pop,2014,148,70,49,-8,8,62,209,4,4,52
448,448,lippy kids,Elbow,0,britpop,2011,155,20,42,-15,8,10,366,96,3,29
53,53,Goodbye My Lover,James Blunt,0,neo mellow,2005,90,26,43,-13,9,27,259,95,5,69
780,780,Arcade,Duncan Laurence,0,dutch pop,2019,72,33,45,-13,14,27,184,82,4,73
726,726,Lost on You,LP,0,la pop,2017,174,72,43,-6,9,69,268,10,4,78
457,457,Every Teardrop Is a Waterfall,Coldplay,1,permanent wave,2011,118,73,43,-7,17,31,241,0,4,68
286,286,La Isla Bonita,Madonna,0,dance pop,2009,100,83,71,-5,6,97,243,39,4,66
7,7,She Will Be Loved,Maroon 5,1,pop,2002,102,71,71,-6,13,54,257,6,3,74
28,28,Cleanin' Out My Closet,Eminem,0,detroit hip hop,2002,148,76,91,-5,8,87,298,7,17,71
113,113,How to Save a Life,The Fray,0,modern rock,2005,122,74,64,-4,10,36,263,27,4,80
677,677,Jacob’s Song,Douwe Bob,0,dutch americana,2016,74,51,36,-8,16,15,318,4,3,40
724,724,Leave a Light On,Tom Walker,1,indie anthem-folk,2017,69,62,59,-6,13,27,186,2,11,75
460,460,Rumour Has It,Adele,1,british soul,2011,120,75,62,-5,9,56,221,64,5,65
258,258,Hometown Glory,Adele,0,british soul,2008,123,34,45,-9,10,21,269,96,4,59
149,149,I Want To Hold Your Hand - Remastered 2015,The Beatles,1,british invasion,2000,131,72,49,-6,31,87,146,39,5,75
257,257,Denis,Blondie,0,candy pop,2006,139,77,53,-7,6,86,139,0,5,42
466,466,Ni**as In Paris,JAY-Z,0,east coast hip hop,2011,140,86,79,-6,35,77,219,13,32,77
356,356,Somewhere Only We Know,Keane,0,modern rock,2004,172,66,45,-4,8,37,236,8,3,67
339,339,Resistance,Muse,0,modern rock,2009,135,77,47,-7,11,9,347,6,5,63
73,73,Where Do You Go To (My Lovely) - Re-Recorded,Peter Sarstedt,0,british folk,2008,183,44,56,-8,12,44,288,29,3,58
491,491,Tubular Bells,Mike Oldfield,0,album rock,2012,149,20,28,-17,13,16,809,49,3,31
